2024-12-22 20:49:48,778 - matplotlib.pyplot - DEBUG - Loaded backend qtagg version 6.8.0.
2024-12-22 20:50:00,151 - matplotlib.font_manager - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2024-12-22 20:50:00,152 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\sterc\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-12-22 20:50:00,152 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\sterc\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-12-22 20:50:00,152 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\sterc\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-12-22 20:50:00,152 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\sterc\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-12-22 20:50:00,152 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\sterc\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-12-22 20:50:00,152 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\sterc\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-12-22 20:50:00,152 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\sterc\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-12-22 20:50:00,153 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\sterc\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2024-12-22 20:50:00,153 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\sterc\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-12-22 20:50:00,153 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\sterc\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-12-22 20:50:00,153 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\sterc\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
